Task ID,Task Description,Deadline,Priority,Assigned User,User Workload,Past Task Behavior,Category,Status,Time Taken (hours),deadline_days_remaining,task_length,has_keyword_urgent,is_weekend_deadline,user_current_load,past_behavior_score,category_encoded,status_encoded,priority_encoded,Predicted Priority
T0245,Deploy hotfix for customer complaints,2025-06-05,High,User_6,1,on-time,DevOps,Completed,10.7,8.0,5.0,0.0,0.0,,,1.0,0.0,0.0,2
T0137,Refactor module for scalability,2025-05-29,Medium,User_6,8,on-time,Design,Pending,0.0,1.0,4.0,0.0,0.0,,,0.0,2.0,2.0,2
T0027,Clean up old logs from server,2025-05-29,Low,User_5,7,delayed,Design,Completed,10.6,1.0,6.0,0.0,0.0,,,0.0,0.0,1.0,1
T0294,Deploy hotfix for customer complaints,2025-06-07,High,User_6,3,on-time,Management,In Progress,0.0,10.0,5.0,0.0,1.0,,,4.0,1.0,0.0,1
T0142,Update user guides,2025-05-31,Medium,User_3,1,late,DevOps,Completed,1.7,3.0,3.0,0.0,1.0,,,1.0,0.0,2.0,2
T0201,Resolve payment gateway timeout issue,2025-06-08,High,User_2,9,late,Documentation,In Progress,0.0,11.0,5.0,0.0,1.0,,,3.0,1.0,0.0,2
T0001,Update internal documentation,2025-06-07,Low,User_4,4,late,Management,In Progress,0.0,10.0,3.0,0.0,1.0,,,4.0,1.0,1.0,2
T0269,Fix critical bug in deployment pipeline,2025-05-26,High,User_10,1,late,Documentation,Completed,4.0,-2.0,6.0,1.0,0.0,,,3.0,0.0,0.0,1
T0273,Deploy hotfix for customer complaints,2025-05-29,High,User_1,3,on-time,Design,In Progress,0.0,1.0,5.0,0.0,0.0,,,0.0,1.0,0.0,2
T0101,Refactor module for scalability,2025-06-08,Medium,User_7,1,on-time,Development,In Progress,0.0,11.0,4.0,0.0,1.0,,,2.0,1.0,2.0,2
T0260,Restore database from backup,2025-06-04,High,User_4,6,on-time,Testing,Completed,7.0,7.0,4.0,0.0,0.0,,,5.0,0.0,0.0,0
T0256,Patch security vulnerability in auth system,2025-06-05,High,User_9,6,on-time,Testing,Completed,9.7,8.0,6.0,0.0,0.0,,,5.0,0.0,0.0,0
T0172,Review peer pull requests,2025-05-26,Medium,User_9,3,delayed,Documentation,In Progress,0.0,-2.0,4.0,0.0,0.0,,,3.0,1.0,2.0,2
T0099,Clean up old logs from server,2025-06-06,Low,User_10,4,on-time,DevOps,In Progress,0.0,9.0,6.0,0.0,0.0,,,1.0,1.0,1.0,1
T0037,Organize shared team files,2025-05-30,Low,User_6,8,on-time,Development,Completed,8.5,2.0,4.0,0.0,0.0,,,2.0,0.0,1.0,2
T0062,Schedule weekly team sync,2025-05-29,Low,User_2,6,on-time,Development,In Progress,0.0,1.0,4.0,0.0,0.0,,,2.0,1.0,1.0,2
T0151,Refactor module for scalability,2025-06-04,Medium,User_6,6,delayed,DevOps,Pending,0.0,7.0,4.0,0.0,0.0,,,1.0,2.0,2.0,2
T0237,Fix critical bug in deployment pipeline,2025-06-01,High,User_9,8,delayed,Development,Completed,4.6,4.0,6.0,1.0,1.0,,,2.0,0.0,0.0,0
T0203,Resolve payment gateway timeout issue,2025-06-03,High,User_8,2,late,Design,Completed,9.1,6.0,5.0,0.0,0.0,,,0.0,0.0,0.0,2
T0243,Resolve payment gateway timeout issue,2025-05-28,High,User_10,1,late,DevOps,In Progress,0.0,0.0,5.0,0.0,0.0,,,1.0,1.0,0.0,2
T0012,Organize shared team files,2025-05-31,Low,User_8,2,delayed,Design,Completed,2.6,3.0,4.0,0.0,1.0,,,0.0,0.0,1.0,2
T0297,Patch security vulnerability in auth system,2025-06-06,High,User_3,5,on-time,Management,Completed,6.1,9.0,6.0,0.0,0.0,,,4.0,0.0,0.0,0
T0268,Fix critical bug in deployment pipeline,2025-06-04,High,User_8,2,on-time,Design,Completed,10.3,7.0,6.0,1.0,0.0,,,0.0,0.0,0.0,1
T0028,Update internal documentation,2025-06-02,Low,User_6,5,delayed,Development,Pending,0.0,5.0,3.0,0.0,0.0,,,2.0,2.0,1.0,2
T0220,Deploy hotfix for customer complaints,2025-06-08,High,User_1,3,on-time,Development,Completed,2.2,11.0,5.0,0.0,1.0,,,2.0,0.0,0.0,2
T0005,Send status update to manager,2025-06-02,Low,User_4,7,delayed,Management,Completed,8.7,5.0,5.0,0.0,0.0,,,4.0,0.0,1.0,2
T0123,Write integration tests for API,2025-06-05,Medium,User_2,9,late,Design,Pending,0.0,8.0,5.0,0.0,0.0,,,0.0,2.0,2.0,2
T0033,Update internal documentation,2025-06-04,Low,User_8,4,late,Documentation,Completed,1.5,7.0,3.0,0.0,0.0,,,3.0,0.0,1.0,2
T0205,Fix critical bug in deployment pipeline,2025-06-09,High,User_3,9,delayed,Management,Pending,0.0,12.0,6.0,1.0,0.0,,,4.0,2.0,0.0,1
T0163,Write integration tests for API,2025-06-03,Medium,User_7,4,delayed,Design,In Progress,0.0,6.0,5.0,0.0,0.0,,,0.0,1.0,2.0,2
T0210,Fix critical bug in deployment pipeline,2025-06-03,High,User_8,1,late,Management,Completed,2.3,6.0,6.0,1.0,0.0,,,4.0,0.0,0.0,1
T0286,Restore database from backup,2025-06-09,High,User_1,6,delayed,Design,In Progress,0.0,12.0,4.0,0.0,0.0,,,0.0,1.0,0.0,2
T0139,Review peer pull requests,2025-06-09,Medium,User_10,7,delayed,Development,Completed,4.9,12.0,4.0,0.0,0.0,,,2.0,0.0,2.0,2
T0063,Clean up old logs from server,2025-06-04,Low,User_9,7,late,Management,In Progress,0.0,7.0,6.0,0.0,0.0,,,4.0,1.0,1.0,1
T0136,Create UI wireframes for feature,2025-05-31,Medium,User_5,6,delayed,Design,Completed,8.7,3.0,5.0,0.0,1.0,,,0.0,0.0,2.0,2
T0129,Write integration tests for API,2025-06-05,Medium,User_2,4,on-time,DevOps,Completed,4.2,8.0,5.0,0.0,0.0,,,1.0,0.0,2.0,2
T0291,Fix critical bug in deployment pipeline,2025-06-01,High,User_2,10,on-time,DevOps,In Progress,0.0,4.0,6.0,1.0,1.0,,,1.0,1.0,0.0,1
T0009,Clean up old logs from server,2025-05-26,Low,User_1,3,delayed,Design,In Progress,0.0,-2.0,6.0,0.0,0.0,,,0.0,1.0,1.0,1
T0071,Send status update to manager,2025-05-29,Low,User_8,7,on-time,Development,Completed,7.5,1.0,5.0,0.0,0.0,,,2.0,0.0,1.0,2
T0265,Fix critical bug in deployment pipeline,2025-05-29,High,User_5,10,late,Development,Completed,4.3,1.0,6.0,1.0,0.0,,,2.0,0.0,0.0,1
T0065,Clean up old logs from server,2025-06-02,Low,User_10,2,on-time,Design,In Progress,0.0,5.0,6.0,0.0,0.0,,,0.0,1.0,1.0,1
T0045,Schedule weekly team sync,2025-06-03,Low,User_9,9,on-time,Testing,Completed,7.8,6.0,4.0,0.0,0.0,,,5.0,0.0,1.0,2
T0280,Resolve payment gateway timeout issue,2025-06-03,High,User_2,4,late,DevOps,In Progress,0.0,6.0,5.0,0.0,0.0,,,1.0,1.0,0.0,2
T0157,Refactor module for scalability,2025-06-05,Medium,User_6,4,delayed,Design,In Progress,0.0,8.0,4.0,0.0,0.0,,,0.0,1.0,2.0,2
T0041,Send status update to manager,2025-05-29,Low,User_5,6,on-time,DevOps,In Progress,0.0,1.0,5.0,0.0,0.0,,,1.0,1.0,1.0,2
T0124,Create UI wireframes for feature,2025-06-01,Medium,User_3,5,delayed,Development,In Progress,0.0,4.0,5.0,0.0,1.0,,,2.0,1.0,2.0,2
T0276,Deploy hotfix for customer complaints,2025-05-29,High,User_1,6,delayed,Development,Completed,9.7,1.0,5.0,0.0,0.0,,,2.0,0.0,0.0,2
T0217,Restore database from backup,2025-06-04,High,User_10,1,delayed,Development,Completed,1.7,7.0,4.0,0.0,0.0,,,2.0,0.0,0.0,2
T0154,Write integration tests for API,2025-06-03,Medium,User_10,7,late,Design,Pending,0.0,6.0,5.0,0.0,0.0,,,0.0,2.0,2.0,2
T0024,Schedule weekly team sync,2025-06-02,Low,User_6,2,on-time,Testing,Completed,10.3,5.0,4.0,0.0,0.0,,,5.0,0.0,1.0,2
T0262,Patch security vulnerability in auth system,2025-06-04,High,User_9,8,late,DevOps,In Progress,0.0,7.0,6.0,0.0,0.0,,,1.0,1.0,0.0,1
T0111,Update user guides,2025-06-04,Medium,User_10,2,delayed,Documentation,Pending,0.0,7.0,3.0,0.0,0.0,,,3.0,2.0,2.0,2
T0082,Send status update to manager,2025-05-29,Low,User_10,6,on-time,DevOps,Pending,0.0,1.0,5.0,0.0,0.0,,,1.0,2.0,1.0,2
T0208,Deploy hotfix for customer complaints,2025-06-06,High,User_7,6,on-time,Testing,Pending,0.0,9.0,5.0,0.0,0.0,,,5.0,2.0,0.0,1
T0213,Resolve payment gateway timeout issue,2025-05-31,High,User_3,8,delayed,Testing,Completed,11.3,3.0,5.0,0.0,1.0,,,5.0,0.0,0.0,2
T0040,Clean up old logs from server,2025-06-04,Low,User_10,7,on-time,Development,Completed,3.2,7.0,6.0,0.0,0.0,,,2.0,0.0,1.0,1
T0241,Resolve payment gateway timeout issue,2025-05-30,High,User_1,8,late,Development,Completed,5.6,2.0,5.0,0.0,0.0,,,2.0,0.0,0.0,2
T0292,Patch security vulnerability in auth system,2025-06-06,High,User_10,7,delayed,Testing,Completed,9.0,9.0,6.0,0.0,0.0,,,5.0,0.0,0.0,1
T0259,Patch security vulnerability in auth system,2025-05-27,High,User_3,4,on-time,DevOps,In Progress,0.0,-1.0,6.0,0.0,0.0,,,1.0,1.0,0.0,1
T0200,Create UI wireframes for feature,2025-06-07,Medium,User_8,7,late,Management,Pending,0.0,10.0,5.0,0.0,1.0,,,4.0,2.0,2.0,2
T0015,Send status update to manager,2025-06-04,Low,User_1,6,delayed,Development,In Progress,0.0,7.0,5.0,0.0,0.0,,,2.0,1.0,1.0,2
T0048,Send status update to manager,2025-06-04,Low,User_3,8,late,DevOps,Pending,0.0,7.0,5.0,0.0,0.0,,,1.0,2.0,1.0,2
T0095,Update internal documentation,2025-06-05,Low,User_6,2,delayed,Development,In Progress,0.0,8.0,3.0,0.0,0.0,,,2.0,1.0,1.0,2
T0264,Restore database from backup,2025-06-08,High,User_10,8,late,Testing,Completed,11.1,11.0,4.0,0.0,1.0,,,5.0,0.0,0.0,2
T0228,Fix critical bug in deployment pipeline,2025-06-03,High,User_3,6,on-time,Testing,Completed,4.8,6.0,6.0,1.0,0.0,,,5.0,0.0,0.0,0
T0274,Resolve payment gateway timeout issue,2025-05-30,High,User_6,1,late,Management,In Progress,0.0,2.0,5.0,0.0,0.0,,,4.0,1.0,0.0,2
T0202,Patch security vulnerability in auth system,2025-06-01,High,User_4,4,delayed,Documentation,In Progress,0.0,4.0,6.0,0.0,1.0,,,3.0,1.0,0.0,1
T0162,Create UI wireframes for feature,2025-05-26,Medium,User_1,4,delayed,Development,In Progress,0.0,-2.0,5.0,0.0,0.0,,,2.0,1.0,2.0,2
T0044,Clean up old logs from server,2025-06-07,Low,User_5,7,on-time,Testing,In Progress,0.0,10.0,6.0,0.0,1.0,,,5.0,1.0,1.0,1
T0218,Restore database from backup,2025-05-29,High,User_8,2,on-time,Design,Completed,8.9,1.0,4.0,0.0,0.0,,,0.0,0.0,0.0,2
T0146,Review peer pull requests,2025-05-30,Medium,User_3,4,late,Development,In Progress,0.0,2.0,4.0,0.0,0.0,,,2.0,1.0,2.0,2
T0191,Refactor module for scalability,2025-05-31,Medium,User_7,10,on-time,Management,In Progress,0.0,3.0,4.0,0.0,1.0,,,4.0,1.0,2.0,2
T0221,Fix critical bug in deployment pipeline,2025-05-31,High,User_1,4,on-time,Testing,Completed,8.9,3.0,6.0,1.0,1.0,,,5.0,0.0,0.0,1
T0252,Restore database from backup,2025-05-27,High,User_5,9,late,Management,Completed,1.6,-1.0,4.0,0.0,0.0,,,4.0,0.0,0.0,2
T0004,Send status update to manager,2025-06-03,Low,User_8,5,delayed,Testing,In Progress,0.0,6.0,5.0,0.0,0.0,,,5.0,1.0,1.0,2
T0106,Update user guides,2025-05-31,Medium,User_2,1,late,Design,In Progress,0.0,3.0,3.0,0.0,1.0,,,0.0,1.0,2.0,2
T0054,Clean up old logs from server,2025-06-09,Low,User_6,4,on-time,Testing,Pending,0.0,12.0,6.0,0.0,0.0,,,5.0,2.0,1.0,1
T0134,Update user guides,2025-06-04,Medium,User_8,6,on-time,Documentation,Pending,0.0,7.0,3.0,0.0,0.0,,,3.0,2.0,2.0,2
T0002,Organize shared team files,2025-05-27,Low,User_8,7,on-time,DevOps,Completed,5.5,-1.0,4.0,0.0,0.0,,,1.0,0.0,1.0,2
T0132,Refactor module for scalability,2025-05-26,Medium,User_5,2,delayed,DevOps,In Progress,0.0,-2.0,4.0,0.0,0.0,,,1.0,1.0,2.0,2
T0104,Review peer pull requests,2025-06-08,Medium,User_4,4,delayed,Testing,Completed,5.0,11.0,4.0,0.0,1.0,,,5.0,0.0,2.0,2
T0050,Send status update to manager,2025-06-06,Low,User_6,9,delayed,Testing,In Progress,0.0,9.0,5.0,0.0,0.0,,,5.0,1.0,1.0,1
T0081,Clean up old logs from server,2025-06-07,Low,User_1,1,late,Design,In Progress,0.0,10.0,6.0,0.0,1.0,,,0.0,1.0,1.0,1
T0206,Deploy hotfix for customer complaints,2025-05-27,High,User_9,8,late,Documentation,Pending,0.0,-1.0,5.0,0.0,0.0,,,3.0,2.0,0.0,2
T0035,Organize shared team files,2025-06-05,Low,User_2,3,on-time,Documentation,Pending,0.0,8.0,4.0,0.0,0.0,,,3.0,2.0,1.0,2
T0092,Send status update to manager,2025-05-27,Low,User_8,7,delayed,Design,Completed,8.5,-1.0,5.0,0.0,0.0,,,0.0,0.0,1.0,2
T0053,Send status update to manager,2025-06-06,Low,User_2,8,on-time,Testing,Pending,0.0,9.0,5.0,0.0,0.0,,,5.0,2.0,1.0,1
T0242,Restore database from backup,2025-06-06,High,User_6,5,delayed,Development,Completed,8.9,9.0,4.0,0.0,0.0,,,2.0,0.0,0.0,2
T0014,Update internal documentation,2025-06-08,Low,User_7,7,on-time,Documentation,In Progress,0.0,11.0,3.0,0.0,1.0,,,3.0,1.0,1.0,2
T0089,Schedule weekly team sync,2025-05-30,Low,User_6,5,late,Documentation,Pending,0.0,2.0,4.0,0.0,0.0,,,3.0,2.0,1.0,2
T0167,Refactor module for scalability,2025-06-08,Medium,User_7,7,delayed,Development,In Progress,0.0,11.0,4.0,0.0,1.0,,,2.0,1.0,2.0,2
T0295,Patch security vulnerability in auth system,2025-05-31,High,User_9,8,delayed,Management,Completed,2.1,3.0,6.0,0.0,1.0,,,4.0,0.0,0.0,0
T0135,Write integration tests for API,2025-06-07,Medium,User_8,3,delayed,Design,Pending,0.0,10.0,5.0,0.0,1.0,,,0.0,2.0,2.0,2
T0288,Resolve payment gateway timeout issue,2025-05-26,High,User_5,4,delayed,Testing,In Progress,0.0,-2.0,5.0,0.0,0.0,,,5.0,1.0,0.0,1
T0244,Deploy hotfix for customer complaints,2025-05-30,High,User_4,5,delayed,Design,In Progress,0.0,2.0,5.0,0.0,0.0,,,0.0,1.0,0.0,2
T0055,Organize shared team files,2025-06-02,Low,User_3,3,late,DevOps,Pending,0.0,5.0,4.0,0.0,0.0,,,1.0,2.0,1.0,2
T0051,Schedule weekly team sync,2025-06-05,Low,User_1,4,late,Testing,In Progress,0.0,8.0,4.0,0.0,0.0,,,5.0,1.0,1.0,2
T0175,Review peer pull requests,2025-05-28,Medium,User_7,10,late,Development,Pending,0.0,0.0,4.0,0.0,0.0,,,2.0,2.0,2.0,2
T0190,Review peer pull requests,2025-05-30,Medium,User_9,4,late,DevOps,Pending,0.0,2.0,4.0,0.0,0.0,,,1.0,2.0,2.0,2
T0299,Deploy hotfix for customer complaints,2025-06-02,High,User_9,6,on-time,Design,Completed,6.3,5.0,5.0,0.0,0.0,,,0.0,0.0,0.0,2
T0188,Review peer pull requests,2025-05-26,Medium,User_1,4,on-time,DevOps,Pending,0.0,-2.0,4.0,0.0,0.0,,,1.0,2.0,2.0,2
T0170,Review peer pull requests,2025-06-06,Medium,User_4,1,late,Documentation,Pending,0.0,9.0,4.0,0.0,0.0,,,3.0,2.0,2.0,2
T0059,Update internal documentation,2025-05-31,Low,User_2,1,on-time,DevOps,Completed,11.6,3.0,3.0,0.0,1.0,,,1.0,0.0,1.0,2
T0049,Clean up old logs from server,2025-06-06,Low,User_1,10,on-time,DevOps,In Progress,0.0,9.0,6.0,0.0,0.0,,,1.0,1.0,1.0,1
T0236,Deploy hotfix for customer complaints,2025-05-31,High,User_7,1,on-time,Development,In Progress,0.0,3.0,5.0,0.0,1.0,,,2.0,1.0,0.0,2
T0253,Patch security vulnerability in auth system,2025-05-28,High,User_1,4,late,Design,Completed,9.0,0.0,6.0,0.0,0.0,,,0.0,0.0,0.0,1
T0022,Clean up old logs from server,2025-05-26,Low,User_6,3,on-time,DevOps,Completed,11.3,-2.0,6.0,0.0,0.0,,,1.0,0.0,1.0,1
T0161,Write integration tests for API,2025-06-09,Medium,User_5,6,delayed,Documentation,Pending,0.0,12.0,5.0,0.0,0.0,,,3.0,2.0,2.0,2
T0277,Resolve payment gateway timeout issue,2025-05-30,High,User_6,2,delayed,Testing,Pending,0.0,2.0,5.0,0.0,0.0,,,5.0,2.0,0.0,1
T0192,Review peer pull requests,2025-05-31,Medium,User_8,7,delayed,DevOps,Completed,2.0,3.0,4.0,0.0,1.0,,,1.0,0.0,2.0,2
T0258,Resolve payment gateway timeout issue,2025-06-06,High,User_9,6,late,Development,In Progress,0.0,9.0,5.0,0.0,0.0,,,2.0,1.0,0.0,2
T0150,Create UI wireframes for feature,2025-05-29,Medium,User_2,7,delayed,Management,In Progress,0.0,1.0,5.0,0.0,0.0,,,4.0,1.0,2.0,2
T0131,Write integration tests for API,2025-06-08,Medium,User_10,7,delayed,Design,Pending,0.0,11.0,5.0,0.0,1.0,,,0.0,2.0,2.0,2
T0152,Create UI wireframes for feature,2025-05-30,Medium,User_7,10,delayed,DevOps,In Progress,0.0,2.0,5.0,0.0,0.0,,,1.0,1.0,2.0,2
T0100,Update internal documentation,2025-05-26,Low,User_4,6,on-time,Design,Completed,11.9,-2.0,3.0,0.0,0.0,,,0.0,0.0,1.0,2
T0088,Update internal documentation,2025-06-06,Low,User_4,5,on-time,Design,In Progress,0.0,9.0,3.0,0.0,0.0,,,0.0,1.0,1.0,2
T0215,Restore database from backup,2025-05-28,High,User_9,2,on-time,Testing,In Progress,0.0,0.0,4.0,0.0,0.0,,,5.0,1.0,0.0,2
T0122,Create UI wireframes for feature,2025-06-05,Medium,User_5,10,late,Management,Pending,0.0,8.0,5.0,0.0,0.0,,,4.0,2.0,2.0,1
T0300,Restore database from backup,2025-05-30,High,User_3,4,delayed,DevOps,Completed,6.2,2.0,4.0,0.0,0.0,,,1.0,0.0,0.0,2
T0021,Organize shared team files,2025-06-05,Low,User_7,3,late,Development,Completed,2.5,8.0,4.0,0.0,0.0,,,2.0,0.0,1.0,2
T0189,Update user guides,2025-06-04,Medium,User_8,6,late,Testing,Completed,5.8,7.0,3.0,0.0,0.0,,,5.0,0.0,2.0,2
T0072,Send status update to manager,2025-06-03,Low,User_1,2,delayed,Management,Completed,9.3,6.0,5.0,0.0,0.0,,,4.0,0.0,1.0,0
T0107,Review peer pull requests,2025-06-09,Medium,User_9,2,late,DevOps,Completed,1.8,12.0,4.0,0.0,0.0,,,1.0,0.0,2.0,2
T0271,Patch security vulnerability in auth system,2025-05-26,High,User_7,1,late,Development,Pending,0.0,-2.0,6.0,0.0,0.0,,,2.0,2.0,0.0,1
T0103,Write integration tests for API,2025-06-02,Medium,User_8,1,on-time,DevOps,Pending,0.0,5.0,5.0,0.0,0.0,,,1.0,2.0,2.0,2
synth_Development_1,Synthetic Development task 1 with realistic details,2025-08-05 09:24:02.282623,Medium,User_8,6,,Development,,,,,,,,,,,,1
synth_Development_2,Synthetic Development task 2 with realistic details,2025-07-30 09:24:02.282947,Medium,User_6,9,,Development,,,,,,,,,,,,1
synth_Development_3,Synthetic Development task 3 with realistic details,2025-08-16 09:24:02.283011,High,User_2,10,,Development,,,,,,,,,,,,1
synth_Development_4,Synthetic Development task 4 with realistic details,2025-08-05 09:24:02.283034,Low,User_5,2,,Development,,,,,,,,,,,,1
synth_Development_5,Synthetic Development task 5 with realistic details,2025-08-09 09:24:02.283053,Low,User_1,6,,Development,,,,,,,,,,,,1
synth_Development_6,Synthetic Development task 6 with realistic details,2025-08-10 09:24:02.283065,High,User_2,8,,Development,,,,,,,,,,,,1
synth_Development_7,Synthetic Development task 7 with realistic details,2025-07-27 09:24:02.283077,Medium,User_2,9,,Development,,,,,,,,,,,,1
synth_Development_8,Synthetic Development task 8 with realistic details,2025-07-26 09:24:02.283091,Low,User_7,9,,Development,,,,,,,,,,,,1
synth_Development_9,Synthetic Development task 9 with realistic details,2025-07-20 09:24:02.283103,High,User_3,6,,Development,,,,,,,,,,,,1
synth_Development_10,Synthetic Development task 10 with realistic details,2025-07-26 09:24:02.283114,Medium,User_10,3,,Development,,,,,,,,,,,,1
synth_Development_11,Synthetic Development task 11 with realistic details,2025-07-27 09:24:02.283124,Low,User_7,2,,Development,,,,,,,,,,,,1
synth_Development_12,Synthetic Development task 12 with realistic details,2025-07-24 09:24:02.283141,Low,User_5,4,,Development,,,,,,,,,,,,1
synth_Development_13,Synthetic Development task 13 with realistic details,2025-07-22 09:24:02.283151,Low,User_6,1,,Development,,,,,,,,,,,,1
synth_Development_14,Synthetic Development task 14 with realistic details,2025-08-06 09:24:02.283161,Medium,User_10,7,,Development,,,,,,,,,,,,1
synth_Development_15,Synthetic Development task 15 with realistic details,2025-08-07 09:24:02.283170,Medium,User_3,7,,Development,,,,,,,,,,,,1
synth_Development_16,Synthetic Development task 16 with realistic details,2025-07-26 09:24:02.283179,Low,User_3,7,,Development,,,,,,,,,,,,1
synth_Development_17,Synthetic Development task 17 with realistic details,2025-07-24 09:24:02.283189,Low,User_9,10,,Development,,,,,,,,,,,,1
synth_Development_18,Synthetic Development task 18 with realistic details,2025-08-02 09:24:02.283198,Low,User_4,10,,Development,,,,,,,,,,,,1
synth_Development_19,Synthetic Development task 19 with realistic details,2025-08-08 09:24:02.283208,Medium,User_3,4,,Development,,,,,,,,,,,,1
synth_Development_20,Synthetic Development task 20 with realistic details,2025-07-31 09:24:02.283217,High,User_1,8,,Development,,,,,,,,,,,,1
synth_Development_21,Synthetic Development task 21 with realistic details,2025-08-11 09:24:02.283227,Medium,User_2,2,,Development,,,,,,,,,,,,1
synth_Development_22,Synthetic Development task 22 with realistic details,2025-07-21 09:24:02.283236,Medium,User_9,5,,Development,,,,,,,,,,,,1
synth_Development_23,Synthetic Development task 23 with realistic details,2025-08-03 09:24:02.283246,Low,User_10,7,,Development,,,,,,,,,,,,1
synth_Development_24,Synthetic Development task 24 with realistic details,2025-07-19 09:24:02.283255,High,User_8,3,,Development,,,,,,,,,,,,1
synth_Development_25,Synthetic Development task 25 with realistic details,2025-07-22 09:24:02.283264,High,User_4,3,,Development,,,,,,,,,,,,1
synth_Development_26,Synthetic Development task 26 with realistic details,2025-07-19 09:24:02.283274,Medium,User_2,7,,Development,,,,,,,,,,,,1
synth_Development_27,Synthetic Development task 27 with realistic details,2025-07-28 09:24:02.283283,Low,User_5,9,,Development,,,,,,,,,,,,1
synth_Development_28,Synthetic Development task 28 with realistic details,2025-07-21 09:24:02.283292,High,User_3,3,,Development,,,,,,,,,,,,1
synth_Development_29,Synthetic Development task 29 with realistic details,2025-08-02 09:24:02.283302,Low,User_1,7,,Development,,,,,,,,,,,,1
synth_Development_30,Synthetic Development task 30 with realistic details,2025-07-24 09:24:02.283311,High,User_6,6,,Development,,,,,,,,,,,,1
synth_Development_31,Synthetic Development task 31 with realistic details,2025-08-04 09:24:02.283320,Medium,User_8,9,,Development,,,,,,,,,,,,1
synth_Development_32,Synthetic Development task 32 with realistic details,2025-08-10 09:24:02.283329,Medium,User_2,7,,Development,,,,,,,,,,,,1
synth_Development_33,Synthetic Development task 33 with realistic details,2025-07-31 09:24:02.283338,High,User_2,2,,Development,,,,,,,,,,,,1
synth_Development_34,Synthetic Development task 34 with realistic details,2025-08-12 09:24:02.283348,High,User_5,2,,Development,,,,,,,,,,,,1
synth_Development_35,Synthetic Development task 35 with realistic details,2025-08-03 09:24:02.283357,Low,User_6,1,,Development,,,,,,,,,,,,1
synth_Development_36,Synthetic Development task 36 with realistic details,2025-08-07 09:24:02.283366,High,User_6,8,,Development,,,,,,,,,,,,1
synth_Development_37,Synthetic Development task 37 with realistic details,2025-08-13 09:24:02.283375,Medium,User_3,1,,Development,,,,,,,,,,,,1
synth_Development_38,Synthetic Development task 38 with realistic details,2025-07-24 09:24:02.283388,High,User_1,1,,Development,,,,,,,,,,,,1
synth_Development_39,Synthetic Development task 39 with realistic details,2025-07-19 09:24:02.283398,Low,User_5,7,,Development,,,,,,,,,,,,1
synth_Development_40,Synthetic Development task 40 with realistic details,2025-08-10 09:24:02.283407,Medium,User_10,10,,Development,,,,,,,,,,,,1
synth_Development_41,Synthetic Development task 41 with realistic details,2025-08-03 09:24:02.283417,High,User_8,5,,Development,,,,,,,,,,,,1
synth_Development_42,Synthetic Development task 42 with realistic details,2025-08-13 09:24:02.283426,Low,User_7,9,,Development,,,,,,,,,,,,1
synth_Development_43,Synthetic Development task 43 with realistic details,2025-07-29 09:24:02.283436,Medium,User_7,1,,Development,,,,,,,,,,,,1
synth_Development_44,Synthetic Development task 44 with realistic details,2025-08-05 09:24:02.283445,High,User_4,2,,Development,,,,,,,,,,,,1
synth_Development_45,Synthetic Development task 45 with realistic details,2025-08-04 09:24:02.283454,High,User_3,4,,Development,,,,,,,,,,,,1
synth_Development_46,Synthetic Development task 46 with realistic details,2025-08-03 09:24:02.283463,High,User_9,2,,Development,,,,,,,,,,,,1
synth_Development_47,Synthetic Development task 47 with realistic details,2025-08-15 09:24:02.283472,Medium,User_2,4,,Development,,,,,,,,,,,,1
synth_Development_48,Synthetic Development task 48 with realistic details,2025-07-22 09:24:02.283481,Low,User_5,7,,Development,,,,,,,,,,,,1
synth_Development_49,Synthetic Development task 49 with realistic details,2025-07-21 09:24:02.283490,Low,User_5,3,,Development,,,,,,,,,,,,1
synth_Development_50,Synthetic Development task 50 with realistic details,2025-07-27 09:24:02.283499,Medium,User_8,7,,Development,,,,,,,,,,,,1
synth_Development_51,Synthetic Development task 51 with realistic details,2025-07-30 09:24:02.283509,Medium,User_6,2,,Development,,,,,,,,,,,,1
synth_Development_52,Synthetic Development task 52 with realistic details,2025-08-16 09:24:02.283518,Low,User_3,9,,Development,,,,,,,,,,,,1
synth_Development_53,Synthetic Development task 53 with realistic details,2025-08-17 09:24:02.283527,High,User_7,7,,Development,,,,,,,,,,,,1
synth_Development_54,Synthetic Development task 54 with realistic details,2025-08-15 09:24:02.283536,Low,User_6,7,,Development,,,,,,,,,,,,1
synth_Development_55,Synthetic Development task 55 with realistic details,2025-08-12 09:24:02.283551,Low,User_2,1,,Development,,,,,,,,,,,,1
synth_Development_56,Synthetic Development task 56 with realistic details,2025-08-11 09:24:02.283560,Medium,User_4,4,,Development,,,,,,,,,,,,1
synth_Development_57,Synthetic Development task 57 with realistic details,2025-07-21 09:24:02.283569,Low,User_9,7,,Development,,,,,,,,,,,,1
synth_Development_58,Synthetic Development task 58 with realistic details,2025-08-07 09:24:02.283578,Medium,User_10,2,,Development,,,,,,,,,,,,1
synth_Development_59,Synthetic Development task 59 with realistic details,2025-07-20 09:24:02.283587,Low,User_9,5,,Development,,,,,,,,,,,,1
synth_Development_60,Synthetic Development task 60 with realistic details,2025-08-07 09:24:02.283596,Medium,User_10,9,,Development,,,,,,,,,,,,1
